bootstrap,full_kappa,kappa,retention,scale,subset_n,tau,train_curve,train_label
76,0.0060004790851013465,0.0005584070855520141,0.011092004201539225,25,547,0.030898198785299612,cosine_72000.csv,Cosine
77,0.0060004790851013465,0.001975720617591821,0.0055898744154588625,25,542,0.030898198785299612,cosine_72000.csv,Cosine
78,0.0060004790851013465,0.003532266184428263,0.013049882498458149,25,547,0.030898198785299612,cosine_72000.csv,Cosine
79,0.0060004790851013465,0.0,0.0642594688463274,25,546,0.030898198785299612,cosine_72000.csv,Cosine
0,0.008872855850635438,0.009561138693371668,0.034597114891244264,100,548,0.030898198785299612,cosine_72000.csv,Cosine
1,0.008872855850635438,0.0,0.023845603379830244,100,544,0.030898198785299612,cosine_72000.csv,Cosine
2,0.008872855850635438,0.006809427004273387,0.0475270779731844,100,547,0.030898198785299612,cosine_72000.csv,Cosine
3,0.008872855850635438,0.007264659015699735,0.014850319059451651,100,546,0.030898198785299612,cosine_72000.csv,Cosine
4,0.008872855850635438,0.01707033116672189,0.029555956464914736,100,547,0.030898198785299612,cosine_72000.csv,Cosine
5,0.008872855850635438,0.0,0.035956555013819294,100,544,0.030898198785299612,cosine_72000.csv,Cosine
6,0.008872855850635438,0.015831944805230574,0.04086822088071712,100,546,0.030898198785299612,cosine_72000.csv,Cosine
7,0.008872855850635438,0.014329384672358976,0.02849819481662809,100,545,0.030898198785299612,cosine_72000.csv,Cosine
8,0.008872855850635438,0.00495176713764996,0.0016448670108384228,100,546,0.030898198785299612,cosine_72000.csv,Cosine
9,0.008872855850635438,0.0,0.03924250772426122,100,545,0.030898198785299612,cosine_72000.csv,Cosine
10,0.008872855850635438,0.01149337387597353,0.02854159619881475,100,548,0.030898198785299612,cosine_72000.csv,Cosine
11,0.008872855850635438,0.0,0.03459334004733614,100,541,0.030898198785299612,cosine_72000.csv,Cosine
12,0.008872855850635438,0.016484961135405856,0.012973165933266827,100,546,0.030898198785299612,cosine_72000.csv,Cosine
13,0.008872855850635438,0.02304766349898166,0.03525376911983837,100,547,0.030898198785299612,cosine_72000.csv,Cosine
14,0.008872855850635438,0.019390441348437124,0.017679493833177812,100,548,0.030898198785299612,cosine_72000.csv,Cosine
15,0.008872855850635438,0.0059810625136020356,0.027099028984507525,100,544,0.030898198785299612,cosine_72000.csv,Cosine
16,0.008872855850635438,0.0009023907138771734,0.00039676344888610435,100,547,0.030898198785299612,cosine_72000.csv,Cosine
17,0.008872855850635438,0.014058213680672204,0.04388941012695998,100,549,0.030898198785299612,cosine_72000.csv,Cosine
18,0.008872855850635438,0.0007279068034922963,0.031258082012246675,100,549,0.030898198785299612,cosine_72000.csv,Cosine
19,0.008872855850635438,0.009488206272153145,0.003671217730287819,100,547,0.030898198785299612,cosine_72000.csv,Cosine
20,0.008872855850635438,0.0,0.03037030857714016,100,542,0.030898198785299612,cosine_72000.csv,Cosine
21,0.008872855850635438,0.0,0.05024265805275836,100,547,0.030898198785299612,cosine_72000.csv,Cosine
22,0.008872855850635438,0.0,0.024698896139781663,100,544,0.030898198785299612,cosine_72000.csv,Cosine
23,0.008872855850635438,0.01163701061641152,0.006050905392934072,100,540,0.030898198785299612,cosine_72000.csv,Cosine
24,0.008872855850635438,0.00391587329228168,0.04636102794473517,100,542,0.030898198785299612,cosine_72000.csv,Cosine
25,0.008872855850635438,0.01765033189239761,0.02897224926839627,100,550,0.030898198785299612,cosine_72000.csv,Cosine
